Glassboro,"{'address': 'Glassboro, New Jersey', 'location': {'x': -75.1119574, 'y': 39.7027729}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -75.1559574, 'ymin': 39.6587729, 'xmax': -75.0679574, 'ymax': 39.7467729}}"
"Troy, New York","{'address': 'Troy, New York', 'location': {'x': -73.691059, 'y': 42.727684}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -73.744059, 'ymin': 42.674684, 'xmax': -73.638059, 'ymax': 42.780684}}"
"Purdue University, Indiana","{'address': 'Purdue University', 'location': {'x': -86.9158867, 'y': 40.4243419}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -86.9348867, 'ymin': 40.4053419, 'xmax': -86.8968867, 'ymax': 40.4433419}}"
"Vestal, New York","{'address': 'Vestal, New York', 'location': {'x': -76.049207, 'y': 42.085651}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -76.119207, 'ymin': 42.015651, 'xmax': -75.979207, 'ymax': 42.155651}}"
London N7,"{'address': 'N7 0, London, England', 'location': {'x': -0.1277049, 'y': 51.5542576}, 'score': 97.32, 'attributes': {}, 'extent': {'xmin': -0.1347049, 'ymin': 51.5472576, 'xmax': -0.1207049, 'ymax': 51.5612576}}"
London N15,"{'address': 'N1 5, London, England', 'location': {'x': -0.0812049, 'y': 51.5352515}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -0.0862049, 'ymin': 51.5302515, 'xmax': -0.0762049, 'ymax': 51.5402515}}"
"Editor, The New Grove Dictionary of Music and Musicians, London WC2","{'address': 'WC2 5, London, England', 'location': {'x': -0.1253257, 'y': 51.5081275}, 'score': 74.94, 'attributes': {}, 'extent': {'xmin': -0.1263257, 'ymin': 51.5071275, 'xmax': -0.1243257, 'ymax': 51.5091275}}"
"Bassoues, France","{'address': 'Bassoues, Mirande, Gers, Occitanie', 'location': {'x': 0.24528, 'y': 43.57917}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 0.20428, 'ymin': 43.53817, 'xmax': 0.28628, 'ymax': 43.62017}}"
University of Michigan Law School Ann Arbor,"{'address': 'University of Michigan', 'location': {'x': -83.742431, 'y': 42.243598}, 'score': 95.14, 'attributes': {}, 'extent': {'xmin': -83.747431, 'ymin': 42.238598, 'xmax': -83.737431, 'ymax': 42.248598}}"
London SW4,"{'address': 'SW4 0, London, England', 'location': {'x': -0.1431007, 'y': 51.46732}, 'score': 97.32, 'attributes': {}, 'extent': {'xmin': -0.1491007, 'ymin': 51.46132, 'xmax': -0.1371007, 'ymax': 51.47332}}"
